Index,TEXCOORD2,byte48p
0,0.018781069666147232,
0,0.9446269273757935,
1,0.03329337015748024,
1,0.9446269273757935,
2,0.018781069666147232,
2,0.912624180316925,
3,0.03329337015748024,
3,0.912624180316925,
4,0.020472049713134766,
4,0.9175844192504883,
5,0.020472049713134766,
5,0.9396669268608093,
6,0.03160225972533226,
6,0.9213693737983704,
7,0.03160225972533226,
7,0.9358817934989929,
8,0.020472049713134766,
8,0.912624180316925,
9,0.020472049713134766,
9,0.9446269273757935,
10,0.03160214051604271,
10,0.912624180316925,
11,0.03160214051604271,
11,0.9446269273757935,
12,0.03160214051604271,
12,0.9446269273757935,
13,0.03160214051604271,
13,0.912624180316925,
14,0.020472049713134766,
14,0.9446269273757935,
15,0.020472049713134766,
15,0.912624180316925,
16,0.018781069666147232,
16,0.9446269273757935,
17,0.03329337015748024,
17,0.9446269273757935,
18,0.018781069666147232,
18,0.9126244783401489,
19,0.03329337015748024,
19,0.9126244783401489,
20,0.020472049713134766,
20,0.9175843000411987,
21,0.020472049713134766,
21,0.9396669268608093,
22,0.03160225972533226,
22,0.9213694930076599,
23,0.03160225972533226,
23,0.9358817934989929,
24,0.020472049713134766,
24,0.912624180316925,
25,0.020472049713134766,
25,0.9446269273757935,
26,0.03160214051604271,
26,0.912624180316925,
27,0.03160214051604271,
27,0.9446269273757935,
28,0.03160214051604271,
28,0.9446269273757935,
29,0.03160214051604271,
29,0.9126244187355042,
30,0.020472049713134766,
30,0.9446269273757935,
31,0.020472049713134766,
31,0.9126244187355042,
32,0.027492279186844826,
32,0.9411798119544983,
33,0.027492279186844826,
33,0.9071521759033203,
34,0.0245820302516222,
34,0.9411798119544983,
35,0.0245820302516222,
35,0.9071521759033203,
36,0.0245820302516222,
36,0.9500991702079773,
37,0.027492279186844826,
37,0.9500991702079773,
38,0.0245820302516222,
38,0.9071521759033203,
39,0.0245820302516222,
39,0.9411798715591431,
40,0.027492279186844826,
40,0.9071521759033203,
41,0.027492279186844826,
41,0.9411798715591431,
42,0.027492279186844826,
42,0.950098991394043,
43,0.0245820302516222,
43,0.950098991394043,
44,0.027492279186844826,
44,0.9134721755981445,
45,0.0245820302516222,
45,0.9134721755981445,
46,0.027492279186844826,
46,0.9437791705131531,
47,0.0245820302516222,
47,0.9437791705131531,
48,0.04660499095916748,
48,0.8674526214599609,
49,0.013482930138707161,
49,0.8674526214599609,
50,0.04660499095916748,
50,0.8934661149978638,
51,0.013482930138707161,
51,0.8934661149978638,
52,0.04660499095916748,
52,0.9637851119041443,
53,0.013482930138707161,
53,0.9637851119041443,
54,0.013482930138707161,
54,0.9897986054420471,
55,0.04660499095916748,
